county,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes,prosperity_score
Talladega AL,8100,9864.12372,13627.8384,16991.9136,6509.11008,12015.7908,8443.84356,-0.8731781263559538
Tallapoosa AL,7608,9474.35748,13964.4756,16991.9136,6189.61152,12087.36,8240.13276,-0.7468864493253345
Tuscaloosa AL,10218.97488,10403.80368,14166.2496,16133.5908,7472.44632,13957.5468,9778.875,-0.21943617170422203
Walker AL,8688,8724.80352,13853.442,17642.436,6309.345,12880.4868,8697.50028,-1.145219498257004
Washington AL,7776,9594.28488,15005.124,16991.9136,6293.93916,11818.62888,8539.02324,-1.2864940471831139
Wilcox AL,7608,9294.46368,13836.7392,16991.9136,6124.42896,11612.97588,8022.04692,-1.7163902110217608
Winston AL,7608,8664.84012,14104.9428,16991.9136,5896.29204,11819.10864,7923.18384,-1.1869919898467296
Haines Borough AK,11868,9043.00416,15620.1444,18688.2336,7576.8816,17841.066,8044.05468,0.18082657134143285
Nome Census Area AK,18408,10602.9822,11153.55912,19119.3312,10511.82276,21645.5088,10719.42192,-0.6202424875734911
Apache AZ,9420,9654.24972,14976.792,20233.002,6911.35248,12113.6772,7842.7266,-1.656661545571949
Cochise AZ,10488,8844.73248,14791.3416,16298.5464,7005.01176,15566.7396,7765.81272,-0.019467262415604203
Coconino AZ,15780,9864.12372,15030.1308,19459.9332,9291.87744,18360.9444,11645.094,0.5309437025007366
Gila AZ,11508,9204.51636,14827.0104,16460.892,7504.9614,13162.2372,7685.91432,-0.20152045349633507
Graham AZ,10776,8874.71412,15394.5312,16568.6664,7120.22904,13170.4848,7499.21856,-0.16456890083316067
Greenlee AZ,9048,9054.60648,14062.2792,16568.6664,6559.28832,12061.1916,6381.1794,0.22085184769784716
La Paz AZ,11424,9174.53544,14440.1616,20484.4776,7463.6616,13186.3716,8541.20292,-0.7952396255674549
Maricopa AZ,15065.454,9444.375,14232.8916,14178.9768,8880.87744,18252.8028,9486.78876,0.7729449025992098
Mohave AZ,10860,9384.41088,14005.3344,19962.882,7335.34788,15589.014,8775.67164,-0.42913163027667905
Navajo AZ,10596,8874.71412,14693.07,20233.002,7055.0076,12734.3184,8056.88304,-0.8618884759416859
Pima AZ,11508,9294.46368,14281.1148,11915.70924,7537.55268,16176.954,7207.42164,0.33540739482949355
Pinal AZ,14223.2844,8874.71412,15472.0464,15759.6708,8369.31588,17721.3468,9576.60132,0.12156906772176664
Santa Cruz AZ,9456,7735.39236,14234.8404,13946.1492,6229.11912,12138.33,5486.91396,-0.03634253113204918
Yavapai AZ,12612,9954.07032,15113.0448,19280.3112,8176.57692,16494.3708,9873.96096,0.3354845619798244
Yuma AZ,11124,8155.14252,14254.0104,20214.3576,6985.59372,15970.2636,8670.219,-0.3908195472377108
Arkansas AR,8292,9084.58812,13845.396,14477.172,6296.2236,9100.47588,5936.83992,-0.59264030945868
Ashley AR,7848,8844.73248,14176.1172,14477.172,6048.43548,8934.14868,5725.60548,-0.4416200013134357
Baxter AR,8652,9564.30252,13829.1084,14477.172,6600.48492,9251.0742,6287.57004,-0.5977654099719669
Benton AR,10073.89596,9054.60648,14563.8864,14373.2724,6931.01076,14275.6668,8181.78876,0.45656165748127986
Boone AR,7848,8005.23192,13915.0824,14477.172,5744.25108,9042.89064,5367.48048,-0.345812205630966
Bradley AR,7848,8634.8562,14120.5764,14477.172,5972.38848,9231.27168,5713.37508,-1.2456048515250826
Calhoun AR,8820,8484.9456,14723.4912,14477.172,6270.26436,9420.38604,6238.8516,-1.0723868429959695
Carroll AR,7956,8934.67752,14371.788,14477.172,6120.15816,8899.82004,5844.33576,-0.26485991117715907
Chicot AR,7848,8724.80352,13768.86,14477.172,6004.98012,9222.8298,5647.83216,-1.0371221745102348
Clark AR,7896,8934.67752,13832.646,14477.172,6098.41812,9148.74024,5741.8788,-0.6893072586316554
Clay AR,7848,7945.2678,14320.6776,14477.172,5722.52412,9202.16892,5501.20308,-0.9716727851764277
Cleburne AR,8436,9294.46368,14479.626,14477.172,6424.44576,9183.9954,6266.08596,-0.5139339395787328
Cleveland AR,7663.02324,8844.73248,14704.3608,14373.2724,5981.4108,11915.52756,6590.469,-0.8883529274186324
Columbia AR,7848,8724.80352,13920.9108,14477.172,6004.98012,9109.22748,5658.43764,-0.5437149503345958
Conway AR,7848,8365.01736,14509.1892,14477.172,5874.61524,9156.279,5698.48428,-0.6790311252441427
Craighead AR,9732,8245.08912,13560.4392,14373.2724,6513.80856,13684.2552,7309.79664,-0.26286756110650483
Crawford AR,8816.79276,8245.08912,14307.5508,14373.2724,6182.19288,13090.1904,7007.73048,-0.5737595140600479
Crittenden AR,8542.09428,8874.71412,14140.0308,14373.2724,6310.79664,12735.8916,6997.33956,-0.7462875101413532
Cross AR,8556,8424.9822,13817.9592,14477.172,6152.87916,9471.39912,5883.078,-0.6129986763462237
Dallas AR,7848,8664.84012,14036.1132,14477.172,5983.25352,9120.18756,5670.71484,-1.1384351795250442
Desha AR,7848,8634.8562,13713.8952,14477.172,5972.38848,9192.11064,5590.34364,-1.0687673032823222
Drew AR,7848,8844.73248,13694.9148,14477.172,6048.43548,8992.45896,5608.93764,-0.39404701321187524
Faulkner AR,9952.56888,8994.64164,14360.7852,14373.2724,6865.32132,13789.7508,7924.26564,-0.11280652236728834
Franklin AR,7884,8454.96312,14272.3128,14477.172,5920.251,8946.28344,5622.53508,-0.9372325400443907
Fulton AR,7848,8814.74928,14283.0588,14477.172,6037.5714,9253.08396,5831.6796,-1.0127395198842597
Garland AR,9588,8934.67752,14317.1676,14373.2724,6711.49656,13454.586,7660.5234,-0.47845260797299366
Grant AR,8964,9204.51636,15458.9496,14373.2724,6583.16964,12639.0516,7617.42996,-0.6575740819360539
Greene AR,8328,8065.19676,13948.8912,14477.172,5939.90184,9538.61424,5717.10168,-0.4319240979371446
Hempstead AR,8184,8245.08912,13845.2964,14477.172,5952.90708,9179.07636,5602.80468,-0.42092831840469125
Hot Spring AR,8040,8754.78516,14078.1552,14477.172,6085.41288,9295.74972,5836.53108,-0.9755600507851847
Howard AR,7848,8784.76752,13898.7456,14477.172,6026.7078,9012.76176,5648.25,-0.9105297452833084
Independence AR,7968,8394.999,14087.508,14477.172,5928.95988,8904.98808,5569.12908,-0.41955596395468064
Izard AR,7848,8844.73248,14318.6568,14477.172,6048.43548,8871.81816,5747.71476,-0.5358450021850001
Jackson AR,7848,8394.999,14085.9228,14477.172,5885.4792,8943.31644,5534.12508,-1.0068973038656026
Jefferson AR,9001.01148,8724.80352,13099.4352,14373.2724,6422.76192,12852.6228,6860.625,-0.7717248755030833
Johnson AR,8064,8484.9456,14111.9724,14477.172,5996.33604,9088.96068,5696.58984,-0.7224977616250609
Lafayette AR,7848,9114.5706,14079.066,14477.172,6146.20824,8984.37528,5813.99232,-1.4756991552847765
Lawrence AR,7848,8335.03488,14155.1952,14477.172,5863.75164,9122.00688,5580.05856,-0.5839456217624398
Lee AR,7848,8544.91044,13762.3896,14477.172,5939.79816,9120.18756,5550.03108,-1.2242652737901105
Lincoln AR,6495.32448,8514.92796,13996.6272,14373.2724,5438.80632,11097.69732,5611.9494,-0.8124787117345179
Little River AR,7848,8754.78516,14390.7324,14373.2724,6015.84372,12569.0436,6718.44144,-0.5074755965985104
Logan AR,7848,8664.84012,14331.0528,14477.172,5983.25352,8913.85548,5695.15608,-0.7822180269053445
Lonoke AR,9591.09516,9294.46368,14958.5292,14373.2724,6842.9832,13526.7528,7993.29708,-0.2266762866933821
Madison AR,6860.95896,8934.67752,15880.1472,14373.2724,5723.38188,11811.1956,6618.10176,-0.9299585096603588
Marion AR,7848,8994.64164,14352.1872,14477.172,6102.75324,9024.42696,5855.2266,-0.9699892236159836
Miller AR,9696.55152,9054.60648,13701.1464,14373.2724,6794.28372,13470.5328,7580.85936,-0.8025451712492225
Mississippi AR,7848,8484.9456,13503.5964,14477.172,5918.0706,8881.5198,5389.83576,-0.7596205292927162
Monroe AR,7848,8215.10664,14070.456,14477.172,5820.29736,9016.45968,5482.31256,-0.7371814234744546
Montgomery AR,7848,8754.78516,14395.3416,14477.172,6015.84372,9315.34572,5857.23816,-0.8330857830968345
Nevada AR,9504,8454.96312,14051.508,14477.172,6507.24096,9773.34444,6395.39868,-1.2880600415863899
Newton AR,7848,8694.82032,15116.9088,14477.172,5994.11604,9118.57032,5979.1014,-0.2785689633436906
Ouachita AR,7848,8305.05396,13813.7748,14477.172,5852.88864,8959.12572,5429.33208,-0.89227201151321
Perry AR,7602.99096,9264.48048,15596.5956,14373.2724,6111.75,12080.2584,7011.60576,-0.7000249135191036
Phillips AR,7848,8964.65988,13297.7676,14477.172,6091.88928,9380.01852,5651.38296,-1.3596617355822138
Pike AR,7848,8784.76752,14297.916,14477.172,6026.7078,9178.70136,5804.03904,-0.9911964714427234
Poinsett AR,7848,7915.28544,13760.328,14373.2724,5711.66016,11966.42364,6068.47668,-1.1338026183010372
Polk AR,7848,8784.76752,14414.0784,14477.172,6026.7078,9178.40112,5835.94524,-0.931333471471616
Pope AR,8208,8544.91044,14045.2116,14477.172,6070.24032,9350.19216,5826.75,-0.45849993781007276
Prairie AR,7848,8784.76752,14116.4892,14477.172,6026.7078,8921.32032,5683.09752,-0.40412049399631583
Pulaski AR,10374.28788,9294.46368,13701.9288,14373.2724,7126.76436,14096.5824,8097.91404,0.06547945367250223
Randolph AR,7848,8275.07004,14279.7852,14477.172,5842.02396,8951.53488,5544.81264,-0.9928529559837355
St. Francis AR,7848,8335.03488,13267.356,14477.172,5863.75164,9281.03544,5378.48844,-0.9839703834124472
Saline AR,10205.60004,9504.33912,14714.7324,14373.2724,7141.68828,13973.8488,8357.96856,0.15321562708511302
Scott AR,7848,8604.87372,14461.5792,14477.172,5961.52476,8921.32032,5710.67172,-1.037526965261652
Searcy AR,7848,8634.8562,14740.0308,14477.172,5972.38848,8987.60964,5816.9256,-1.2030991109219256
Sebastian AR,8753.90556,8454.96312,13331.478,14373.2724,6235.45164,13043.5308,6784.06272,-0.2827127417101761
Sevier AR,7848,8784.76752,13916.0484,14477.172,6026.7078,8945.57232,5634.4764,-0.7112611969426833
Sharp AR,7848,8544.91044,14185.4736,14477.172,5939.79816,9004.28028,5634.85944,-1.0126524777312393
Stone AR,7848,8844.73248,14326.4472,14477.172,6048.43548,8961.74052,5774.63676,-1.2625235704716593
Union AR,8052,8724.80352,13885.6248,14477.172,6078.89724,9433.8252,5814.80088,-0.6846309547417073
Van Buren AR,8400,8874.71412,14262.4236,14477.172,6259.31028,9123.46212,6019.6212,-0.8552210290007007
Washington AR,8857.88892,8994.64164,14111.928,14373.2724,6468.67608,13342.9332,7320.98436,0.10997631415621346
White AR,8400,8514.92796,13966.2036,14477.172,6128.94576,9628.9212,5942.42976,-0.48929820396959683
Woodruff AR,7848,8664.84012,14140.8096,14477.172,5983.25352,8844.33324,5623.4766,-0.5510499482699698
Yell AR,7848,8305.05396,14289.9252,14477.172,5852.88864,9121.8516,5605.94532,-0.8815925081303356
Alameda CA,28474.3356,11902.90944,15203.7852,16801.494,14630.2692,17473.9056,18752.3976,2.152233299307642
Alpine CA,12816,11063.41116,18172.9728,19047.4836,8652.45264,11776.2048,9516.71856,0.9911649057226127
Amador CA,13788,12592.4988,17516.25,16712.364,9558.69576,12221.3172,9776.0076,0.7153135309631825
Butte CA,14304,10103.98164,15426.7908,18777.3636,8843.97432,12920.8884,9183.53904,0.25675887779264
Calaveras CA,12732,13312.0704,17743.2828,19047.4836,9436.79448,11873.61696,10313.68728,0.7958309164475913
Colusa CA,11592,10073.99928,16395.8508,19047.4836,7850.44632,11490.43428,7843.82808,0.20733140260498853
Contra Costa CA,28822.9368,11303.26752,16491.264,16442.244,14539.3068,17590.9236,19071.696,2.035442890083186
Del Norte CA,12000,10463.7678,15598.4268,19047.4836,8139.50904,11562.24828,7948.17996,-0.35097724430012595
El Dorado CA,17524.9332,13402.0152,16692.5088,16442.244,11206.05252,14064.5424,12348.8904,1.6287627478147038
Fresno CA,12768,9204.51636,15184.2456,13137.1548,7961.50932,12301.0644,6285.83568,0.14662517351479146
Glenn CA,11112,9984.05268,16070.8128,19047.4836,7643.93184,10882.79076,7365.7734,0.10650820229990705
Humboldt CA,13356,9954.07032,15311.0712,19047.4836,8446.158,12062.8752,8341.85964,0.1543799890749922
Imperial CA,12720,8125.16088,15465.8256,15220.7988,7553.02368,12271.0284,6484.26564,-0.03574045201107786
Inyo CA,12204,9804.15888,16395.4584,19119.3312,7974.42336,11308.39452,7946.53932,0.793292462184648
Kern CA,11640,9114.5706,15838.9092,13711.9536,7520.19948,11999.14452,6104.6484,-0.05801842206003368
Kings CA,13308,9204.51636,15430.4376,13137.1548,8157.17208,12404.4696,6555.35964,0.03209949414473332
Lake CA,12864,11752.99872,16010.2104,19047.4836,8919.70896,11711.95824,9163.06272,-0.4635627302807011
Lassen CA,11220,11633.0706,16629.3204,19047.4836,8280.56904,11218.60176,8299.10964,-0.3639603471839586
Los Angeles CA,24696,10373.8206,14403.2592,11664.23508,12707.1792,15879.8364,12501.7896,1.1216570061003106
Madera CA,13812,11902.90944,16545.7548,13137.1548,9317.52612,12599.2884,8093.35908,-0.06158911172246745
Marin CA,42906.366,13821.7692,16695.1008,16837.4184,20554.8408,21446.928,30906.36,3.3944394272645115
Mariposa CA,13224,9654.24972,17414.6928,15275.37,8289.69216,11874.70896,7640.24196,-0.09874871513016498
Mendocino CA,14880,10583.69532,15990.7296,19047.4836,9226.50072,12528.3,9735.99972,0.28755117194135044
Merced CA,12804,9744.1956,15833.2044,15759.6708,8170.10088,12407.76,7359.63276,-0.03271839423050799
Modoc CA,9684,10073.99928,16968.6588,19047.4836,7159.10232,10692.68844,7056.78876,-0.15580692315087175
Mono CA,15912,9744.1956,16464.8964,19119.3312,9296.25144,12681.4116,10026.375,0.7280204819731092
Monterey CA,21516,10313.85576,15931.4976,23734.9956,11533.21212,15216.9624,15951.5856,0.9642548543914132
Napa CA,24216,13132.1772,17019.138,16837.4184,13532.7168,15791.7192,17010.546,1.7683023540310374
Nevada CA,16020,14391.4296,16872.9276,19047.4836,11019.25932,12769.1412,12656.7264,1.1538517994752855
Orange CA,27972,10553.71284,15870.1776,12993.4572,13959.3852,17350.8756,16141.5936,1.937545376671839
Placer CA,21447.18,11393.21412,15950.9412,16442.244,11899.36968,15440.6868,13628.5704,1.8222518349238692
Plumas CA,11244,10433.78388,16965.8748,19047.4836,7854.71556,11308.3206,7960.51536,0.22380158078343526
Riverside CA,17271.246,9444.375,15656.6724,13388.6304,9680.12328,13868.8488,8666.98464,0.7337315862766723
Sacramento CA,17413.6644,9984.05268,14671.7112,16442.244,9927.27324,14025.5028,9798.7734,0.8356557760345128
San Benito CA,20088,13192.1412,17457.7884,23734.9956,12058.7076,14963.7,17421.414,1.5349954337544582
San Bernardino CA,16115.6424,9294.46368,15406.914,13388.6304,9207.08352,13470.5376,7968.92208,0.465802843549207
San Diego CA,25488,10553.71284,15518.9616,13963.4268,13059.3336,16806.1464,14768.6016,1.3894542327572406
San Francisco CA,39297.9996,14361.4452,10705.54908,17915.1648,19442.9316,20308.9788,26591.5404,2.5798508068544526
San Joaquin CA,15240,9774.17796,15396.0612,15005.25,9063.62328,13263.3528,8216.625,0.39422876255136186
San Luis Obispo CA,19980,11243.30268,16897.3272,17196.6684,11313.43356,14921.0832,13221.3588,1.282432624204229
San Mateo CA,48028.5852,11932.89252,16363.0416,17915.1648,21726.4092,23062.2888,33859.7016,2.9831248155145444
Santa Barbara CA,28488,10313.85576,16635.7092,17196.6684,14059.4424,17211.8556,18491.2968,1.3475656281581652
Santa Clara CA,36612,11513.14236,16339.512,13496.4048,17437.6368,19799.5488,23514.5232,2.897866366297219
Santa Cruz CA,36252,12292.6776,16880.8632,16801.494,17589.6504,19575.288,25406.6628,1.7824889444645613
Shasta CA,14616,9714.21384,15731.8896,18777.3636,8815.79592,13043.88,9276.86724,0.121251201067179
Sierra CA,14844,10823.55252,18116.136,19047.4836,9300.36624,12438.564,10472.6016,0.9835431237219733
Siskiyou CA,10968,10433.78388,16385.9532,19047.4836,7754.70996,11116.22676,7632.89064,0.001443586792744589
Solano CA,19404,9954.07032,15634.5552,16837.4184,10637.58696,14723.8848,11523.21096,1.1316213285256955
Sonoma CA,23952,11992.8552,16984.7196,16837.4184,13024.2372,16116.8124,16229.2188,1.5764365460107943
Stanislaus CA,14688,9894.10548,15464.2056,15005.25,8907.06588,12977.442,7984.1484,0.25501264242628724
Sutter CA,13631.3736,8724.80352,15739.2804,16442.244,8100.5244,12698.9928,7530.80496,0.2960048570647175
Tehama CA,11424,9894.10548,16223.1168,19047.4836,7724.39064,11183.33496,7574.85936,-0.3409061398895459
Trinity CA,10416,10044.0168,16994.8608,19047.4836,7413.471,10992.03,7411.95336,-0.30400842408354195
Tulare CA,11508,9294.46368,15880.7808,15005.25,7537.55268,11834.08224,6410.8044,-0.17506839704564423
Tuolumne CA,13212,12172.7496,16432.0644,19047.4836,9197.89596,12012.072,9680.85936,0.6184124221059637
Ventura CA,23076,10403.80368,17272.854,16406.3208,12131.0532,15831.6924,14659.0476,1.7021872623853336
Yolo CA,18132,10583.69532,15048.8088,16442.244,10404.82908,14249.6964,10581.8826,1.2998398299140346
Yuba CA,13222.2996,9324.44532,15826.17,16442.244,8169.57492,12555.45,7586.96856,-0.20631497906975546
Adams CO,18810.618,9654.24972,15472.5012,11879.78472,10313.9436,20733.9156,12884.016,0.7262171511295231
Alamosa CO,10140,10073.99928,14399.4504,13083.9516,7324.32936,12313.5924,7598.4924,-0.3255740152291709
Arapahoe CO,19425.5268,10223.90988,14626.0284,11879.78472,10743.16044,21086.4864,13265.5152,1.375435449168501
Archuleta CO,12396,9894.10548,15570.354,12078.0552,8076.58452,13333.7712,8652.71124,0.34833574779484744
Baca CO,8808,8215.10664,16391.1768,13083.9516,6168.1428,11864.45136,6855.71124,-0.5434757525472178
Bent CO,9492,9144.55296,16015.1544,13083.9516,6752.75832,11656.25976,7283.8044,-0.7751254162957748
Boulder CO,20688,11842.94604,15507.546,11915.70924,11787.24468,21904.452,15235.3824,2.125253006238009
Chaffee CO,10932,10283.874,15938.1888,13083.9516,7687.3476,12521.5152,8416.61724,0.583213208263302
Cheyenne CO,8808,8964.65988,17167.914,13083.9516,6439.73508,11648.9202,7275.46872,1.4335039874939621
Clear Creek CO,13108.7376,10763.58912,17389.5612,11879.78472,8649.88548,17464.6068,10705.11696,1.7678854728335303
Conejos CO,8808,10103.98164,16318.8804,13083.9516,6852.5574,11414.01852,7399.33596,-0.29301113534631584
Costilla CO,9288,10193.92752,16606.332,13083.9516,7059.07032,11763.57492,7772.39868,-0.9679639546439457
Crowley CO,10020,9894.10548,16566.0744,13083.9516,7215.66576,11981.97948,7974.27324,-1.1132781588929628
Custer CO,10344,9114.5706,17004.5232,13083.9516,7050.60792,12374.4384,8029.57032,0.23998859701018146
Delta CO,11772,9624.26664,15677.0172,12078.0552,7752.71124,12618.9144,8174.28876,0.10703176530551388
Denver CO,18321.486,10913.499,13611.1452,11879.78472,10592.98824,20453.46,12514.476,0.9618553494671785
Dolores CO,9000,10733.60664,16525.5612,12078.0552,7150.2642,11821.4238,7591.51536,-0.9708255265887583
Douglas CO,24107.2188,10703.62428,16152.4092,11879.78472,12613.3416,23770.8444,17241.9768,2.6417033552297364
Eagle CO,20580,10643.66016,15771.8736,12078.0552,11313.56328,16255.3488,12808.5396,1.6266536483477978
Elbert CO,16518.6852,10523.73264,18230.3004,11879.78472,9798.53472,19419.7812,12716.538,1.503188217614636
El Paso CO,14400,9894.10548,14357.61,11700.16044,8802.71268,18664.518,10334.21856,0.8256776328350798
Fremont CO,10740,9534.32148,15151.4124,13083.9516,7346.18628,12514.02,7871.16432,-0.22219614053025064
Garfield CO,14544,10553.71284,15079.6608,12078.0552,9093.89136,14431.2156,9806.55468,1.1813996140938368
Gilpin CO,16197.2568,10643.66016,17574.708,11879.78472,9725.52324,19235.4828,12340.914,1.0944775900093424
Grand CO,13728,10823.55252,16122.0288,12078.0552,8895.9954,13976.8488,9766.08624,0.9922232322451938
Gunnison CO,12144,10553.71284,15122.9424,12078.0552,8224.27656,13432.236,8706.66432,0.9923476556433011
Hinsdale CO,9912,11273.28516,17689.32,12078.0552,7676.26464,12156.1704,8505.18756,0.306753757364222
Huerfano CO,10164,9354.42768,16267.2276,13083.9516,7072.29636,12144.7392,7796.57808,0.03292464195962186
Jackson CO,11748,11543.124,16345.7016,12078.0552,8439.29292,12976.3452,9117.7734,-0.21116600070059866
Jefferson CO,19229.874,10673.64036,15646.212,11879.78472,10835.22216,20974.3056,13696.0236,1.6934953022613015
Kiowa CO,9240,9174.53544,16650.6444,13083.9516,6672.31272,11843.18916,7421.34372,-0.8131233983515634
Kit Carson CO,10332,8844.73248,15707.2356,13083.9516,6948.48636,12472.4208,7612.60176,0.0812948447917969
Lake CO,10440,11812.96368,15122.2572,12078.0552,8063.12628,12477.3204,8297.8206,0.05914028081108518
